Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_dollar,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Pakistan,PAK,PKR,460,138.88,3.312211982,82.43727599,1545.938,-40.6,-28.6,-18.7,-7.9,8.6,16.6,13.6,32.8,48.4,21.3
Peru,PER,PEN,10.5,3.3485,3.135732418,1.88172043,6731.851,-43.8,-32.4,-23,-12.8,2.8,1.7,-1,15.8,29.4,5.8
Philippines,PHL,PHP,140,52.3925,2.672138188,25.08960573,2988.897,-52.1,-42.4,-34.4,-25.7,-12.4,-8.1,-10.5,4.7,16.9,-4.4
Poland,POL,PLN,10.5,3.74845,2.801157812,1.88172043,13821.233,-49.8,-39.7,-31.2,-22.1,-8.2,-18,-20.2,-6.6,4.3,-14.7
Qatar,QAT,QAR,12,3.64125,3.295571576,2.150537634,,-40.9,-29,-19.1,-8.4,8,,,,,
Romania,ROU,RON,9.3,4.06695,2.286725925,1.666666667,,-59,-50.7,-43.9,-36.4,-25.1,,,,,
Russia,RUS,RUB,110.17,66.685,1.652095674,19.7437276,10955.792,-70.4,-64.4,-59.4,-54.1,-45.9,-49.7,-51,-42.7,-36,-47.6
Saudi Arabia,SAU,SAR,12,3.75115,3.199018968,2.150537634,21096.44,-42.7,-31.1,-21.5,-11.1,4.8,-14.9,-17.1,-3.1,8.3,-11.5
Singapore,SGP,SGD,5.8,1.3559,4.277601593,1.039426523,57713.335,-23.3,-7.8,5,18.9,40.2,-22,-24,-11.1,-0.7,-18.8
Sweden,SWE,SEK,52,8.90625,5.838596491,9.318996416,52925.128,4.6,25.8,43.3,62.3,91.4,11.1,8.2,26.5,41.3,15.5
Thailand,THA,THB,119,32.0075,3.717878622,21.32616487,6590.638,-33.4,-19.9,-8.7,3.4,21.8,20.8,17.7,37.6,53.7,25.7
Turkey,TUR,TRY,10.75,5.3834,1.996879296,1.926523297,10537.186,-64.2,-57,-51,-44.5,-34.6,-38.8,-40.4,-30.3,-22.1,-36.3
Taiwan,TWN,TWD,69,30.803,2.240041554,12.3655914,24292.091,-59.9,-51.7,-45,-37.7,-26.6,-42.7,-44.2,-34.7,-27.1,-40.4
Ukraine,UKR,UAH,54,27.8,1.942446043,9.677419355,,-65.2,-58.2,-52.3,-46,-36.3,,,,,
Uruguay,URY,UYU,140,32.51,4.306367272,25.08960573,,-22.8,-7.2,5.7,19.7,41.1,,,,,
United States,USA,USD,5.58,1,5.58,1,59792.013,0,20.2,37,55.2,82.9,0,-2.6,13.9,27.2,4
Vietnam,VNM,VND,65000,23199,2.801844907,11648.74552,,-49.8,-39.6,-31.2,-22.1,-8.2,,,,,
South Africa,ZAF,ZAR,31,13.8675,2.235442582,5.555555556,6179.87,-59.9,-51.8,-45.1,-37.8,-26.7,-26.9,-28.8,-16.7,-7,-24
